41.0,-127.0,69.0,-3.0,-13.0,-69.0,-7.0,-60.0,-44.0,-22.0,39.0,-122.0,33.0,-44.0,158.0,-136.0,28.0,60.0,91.0,-62.0,-7.0,58.0,45.0,53.0,81.0,-144.0,66.0,37.0,-21.0,79.0,87.0,-163.0,141.0,-70.0,-27.0,-16.0,49.0,-13.0,-13.0,-28.0,69.0,5.0,-87.0,-6.0,51.0,-78.0,7.0,-4.0,43.0,-55.0,106.0,-73.0,6.0,1.0,-33.0,23.0,66.0,-51.0,-6.0,-44.0,42.0,-127.0,57.0,-42.0,18.0,30.0,-77.0,76.0,-54.0,36.0,7.0,-32.0,67.0,-45.0,-44.0,26.0,-8.0,6.0,13.0,-49.0,48.0,-86.0,-44.0,135.0,-81.0,24.0,27.0,-62.0,52.0,-59.0,10.0,-17.0,-33.0,11.0,-19.0,1.0,21.0,-47.0
30.0,42.0,31.0,-12.0,48.0,-25.0,-18.0,85.0,-23.0,-73.0,27.0,21.0,3.0,8.0,-48.0,114.0,-47.0,7.0,-19.0,27.0,-36.0,57.0,-28.0,-18.0,25.0,-2.0,-2.0,46.0,5.0,33.0,42.0,21.0,13.0,8.0,45.0,9.0,-14.0,45.0,9.0,1.0,-4.0,0.0,17.0,55.0,12.0,55.0,54.0,71.0,65.0,-6.0,-31.0,-24.0,-66.0,-11.0,-35.0,-119.0,-97.0,-69.0,321.0,286.0,215.0,295.0,-361.0,691.0,767.0,-357.0,13.0,-187.0,-35.0,109.0,94.0,-25.0,59.0,-17.0,0.0,48.0,-35.0,-49.0,42.0,39.0,-16.0,19.0,-9.0,10.0,-10.0,21.0,6.0,28.0,-4.0,-36.0,-18.0,-57.0,-272.0,92.0,213.0,-10.0,36.0,-41.0
-39.0,35.0,27.0,59.0,82.0,16.0,4.0,61.0,70.0,-33.0,70.0,4.0,42.0,-58.0,5.0,153.0,-2.0,-116.0,-46.0,-98.0,-145.0,-12.0,-28.0,14.0,0.0,4.0,16.0,26.0,-10.0,-30.0,-13.0,8.0,4.0,-29.0,-29.0,-30.0,-29.0,-2.0,-10.0,16.0,-5.0,-1.0,4.0,8.0,-1.0,-22.0,-74.0,-109.0,-54.0,-54.0,-26.0,-21.0,11.0,49.0,-92.0,-140.0,229.0,-47.0,26.0,-186.0,-240.0,-160.0,-264.0,-248.0,60.0,829.0,-121.0,-155.0,-271.0,120.0,-17.0,77.0,0.0,-5.0,9.0,80.0,130.0,-164.0,-54.0,64.0,-37.0,0.0,50.0,-4.0,-41.0,-19.0,-27.0,-2.0,-32.0,-37.0,31.0,-174.0,10.0,200.0,68.0,-35.0,20.0,-25.0
-42.0,-7.0,-35.0,-37.0,-39.0,15.0,-58.0,54.0,-70.0,22.0,51.0,73.0,49.0,-1.0,-32.0,119.0,82.0,-114.0,-47.0,-112.0,-69.0,-1.0,20.0,29.0,60.0,44.0,-6.0,-23.0,-25.0,5.0,0.0,-16.0,12.0,-33.0,-18.0,-39.0,-24.0,14.0,-10.0,30.0,20.0,17.0,73.0,-25.0,-42.0,-24.0,-72.0,-18.0,25.0,-15.0,39.0,0.0,-9.0,-50.0,-42.0,-15.0,154.0,63.0,-120.0,-71.0,-11.0,-58.0,-26.0,-140.0,-364.0,-200.0,785.0,-272.0,-73.0,-148.0,17.0,-46.0,27.0,3.0,2.0,-97.0,131.0,50.0,-82.0,5.0,-36.0,-53.0,58.0,62.0,19.0,-8.0,-21.0,-7.0,-23.0,13.0,-12.0,-287.0,161.0,163.0,-27.0,-39.0,5.0,-30.0
-25.0,4.0,-18.0,-19.0,-32.0,-19.0,-66.0,19.0,-48.0,-16.0,-19.0,-23.0,-57.0,51.0,-101.0,123.0,-102.0,-309.0,-103.0,6.0,82.0,66.0,48.0,46.0,24.0,4.0,-10.0,-5.0,14.0,15.0,7.0,-20.0,14.0,-4.0,16.0,31.0,17.0,24.0,7.0,10.0,8.0,-27.0,8.0,61.0,58.0,30.0,-77.0,79.0,-3.0,-62.0,-15.0,-1.0,27.0,-74.0,18.0,47.0,76.0,-134.0,-32.0,-12.0,48.0,8.0,-3.0,0.0,-24.0,-224.0,-307.0,776.0,-148.0,19.0,65.0,19.0,-43.0,70.0,50.0,8.0,-112.0,177.0,23.0,-66.0,-96.0,-28.0,-48.0,-38.0,-12.0,-18.0,-6.0,-13.0,19.0,23.0,-153.0,-142.0,331.0,-23.0,4.0,16.0,13.0,5.0
-9.0,22.0,-14.0,-6.0,5.0,0.0,-7.0,10.0,-19.0,0.0,-13.0,-20.0,-26.0,43.0,-53.0,173.0,-356.0,-101.0,105.0,122.0,89.0,52.0,31.0,-4.0,-62.0,-40.0,-1.0,9.0,6.0,20.0,42.0,-27.0,4.0,27.0,42.0,53.0,51.0,23.0,1.0,6.0,-12.0,-26.0,-19.0,-16.0,84.0,126.0,-71.0,-3.0,9.0,-37.0,-53.0,-34.0,8.0,-65.0,-2.0,85.0,-42.0,-51.0,-2.0,-22.0,32.0,7.0,-14.0,6.0,12.0,-3.0,-274.0,31.0,77.0,-108.0,-19.0,76.0,-156.0,53.0,46.0,12.0,-76.0,3.0,202.0,63.0,-165.0,-97.0,-39.0,-33.0,-34.0,-37.0,-34.0,24.0,22.0,-33.0,-278.0,80.0,240.0,-48.0,27.0,-43.0,43.0,-55.0
-2.0,15.0,4.0,-2.0,9.0,5.0,-5.0,3.0,0.0,5.0,-6.0,14.0,61.0,58.0,-259.0,243.0,-24.0,142.0,91.0,19.0,1.0,-15.0,6.0,-19.0,4.0,30.0,23.0,4.0,-6.0,4.0,45.0,-21.0,9.0,41.0,-2.0,19.0,-11.0,23.0,-32.0,-5.0,-15.0,-44.0,-76.0,-73.0,-90.0,48.0,36.0,-80.0,-45.0,-11.0,-6.0,-13.0,21.0,-22.0,-23.0,59.0,-43.0,-18.0,0.0,-18.0,19.0,25.0,-25.0,-15.0,-11.0,9.0,-28.0,-329.0,580.0,-319.0,-82.0,273.0,-126.0,-85.0,30.0,-37.0,-47.0,-16.0,23.0,199.0,65.0,-142.0,-83.0,-14.0,-4.0,11.0,3.0,9.0,16.0,-187.0,-16.0,200.0,97.0,-8.0,37.0,-22.0,-1.0,-12.0
14.0,-6.0,-7.0,31.0,7.0,-8.0,1.0,17.0,-1.0,1.0,-11.0,12.0,66.0,-24.0,-211.0,163.0,2.0,102.0,48.0,10.0,14.0,-2.0,1.0,16.0,22.0,39.0,48.0,25.0,20.0,23.0,64.0,-23.0,3.0,-4.0,-42.0,-43.0,-90.0,-65.0,4.0,-1.0,8.0,43.0,45.0,-37.0,-77.0,-64.0,17.0,32.0,-45.0,-75.0,-10.0,-12.0,6.0,9.0,-28.0,9.0,-42.0,-9.0,3.0,-12.0,11.0,38.0,-3.0,-11.0,9.0,-32.0,-7.0,-112.0,217.0,33.0,-327.0,402.0,80.0,-79.0,25.0,73.0,-76.0,41.0,-20.0,37.0,130.0,-7.0,-95.0,-52.0,26.0,40.0,42.0,4.0,-128.0,-257.0,154.0,116.0,45.0,-46.0,42.0,-46.0,13.0,42.0
-4.0,4.0,-3.0,-10.0,-5.0,-4.0,13.0,-9.0,0.0,-3.0,3.0,-6.0,65.0,-29.0,-33.0,101.0,-52.0,-105.0,-1.0,28.0,40.0,14.0,59.0,44.0,1.0,-32.0,-31.0,3.0,27.0,-1.0,-9.0,-39.0,-27.0,-9.0,-23.0,1.0,-14.0,-6.0,7.0,-5.0,-87.0,-15.0,48.0,37.0,-2.0,-49.0,6.0,34.0,48.0,-46.0,-34.0,5.0,28.0,9.0,-5.0,2.0,-21.0,-24.0,-8.0,-18.0,-2.0,26.0,10.0,-32.0,-15.0,7.0,-38.0,-29.0,-183.0,174.0,-191.0,-22.0,420.0,-138.0,-73.0,32.0,112.0,-86.0,17.0,27.0,46.0,96.0,-79.0,-76.0,60.0,29.0,-75.0,-193.0,-185.0,31.0,30.0,75.0,69.0,-69.0,54.0,-79.0,24.0,-14.0
14.0,1.0,14.0,-10.0,5.0,-12.0,-5.0,-11.0,1.0,-3.0,21.0,12.0,63.0,-38.0,30.0,-2.0,-12.0,-41.0,-14.0,-2.0,-45.0,-48.0,-18.0,-4.0,-33.0,-19.0,-39.0,-32.0,-31.0,-38.0,-15.0,-20.0,-34.0,-19.0,-10.0,11.0,-30.0,-5.0,31.0,62.0,-45.0,-71.0,25.0,75.0,47.0,26.0,-23.0,40.0,-4.0,0.0,-72.0,-3.0,9.0,5.0,-9.0,-4.0,-4.0,-12.0,7.0,-14.0,3.0,10.0,25.0,-30.0,-36.0,12.0,1.0,-8.0,-101.0,-38.0,15.0,-235.0,304.0,90.0,-152.0,-39.0,26.0,54.0,-7.0,-20.0,63.0,34.0,117.0,-178.0,-62.0,-184.0,-155.0,54.0,193.0,184.0,71.0,-39.0,112.0,-38.0,34.0,9.0,22.0,-32.0
-13.0,-8.0,-2.0,-8.0,7.0,-21.0,29.0,4.0,-6.0,-8.0,-16.0,42.0,58.0,-28.0,-20.0,-10.0,-6.0,-37.0,-1.0,-21.0,-51.0,-14.0,-6.0,-6.0,-18.0,-13.0,-8.0,-23.0,-4.0,-59.0,-46.0,-3.0,-17.0,18.0,13.0,23.0,-18.0,-45.0,-30.0,34.0,58.0,-23.0,-146.0,-65.0,10.0,23.0,-49.0,-18.0,51.0,56.0,-35.0,-41.0,-22.0,44.0,-1.0,-21.0,16.0,-26.0,-30.0,-13.0,-4.0,21.0,10.0,-22.0,-8.0,1.0,-9.0,-8.0,-31.0,-107.0,91.0,-202.0,115.0,80.0,88.0,-90.0,-103.0,40.0,28.0,-63.0,-26.0,73.0,70.0,-104.0,-151.0,-49.0,79.0,198.0,84.0,-28.0,68.0,35.0,-28.0,52.0,33.0,-59.0,55.0,-44.0
6.0,10.0,6.0,-20.0,5.0,-8.0,7.0,-3.0,-3.0,26.0,19.0,59.0,43.0,-46.0,-31.0,3.0,10.0,-29.0,-29.0,-36.0,-32.0,-6.0,2.0,-32.0,-42.0,-36.0,-16.0,-23.0,-8.0,18.0,36.0,13.0,23.0,44.0,64.0,22.0,12.0,-24.0,6.0,7.0,8.0,48.0,23.0,-25.0,-11.0,-2.0,9.0,-56.0,32.0,5.0,14.0,-39.0,-69.0,21.0,29.0,-14.0,7.0,-13.0,0.0,-31.0,-4.0,-2.0,-6.0,-16.0,-3.0,-2.0,5.0,-21.0,-2.0,-126.0,167.0,-208.0,134.0,21.0,23.0,62.0,-9.0,-194.0,178.0,-45.0,8.0,43.0,89.0,-202.0,17.0,41.0,117.0,38.0,-8.0,-30.0,-36.0,-52.0,-55.0,-25.0,4.0,-24.0,38.0,18.0
-4.0,-9.0,17.0,-21.0,13.0,-25.0,9.0,-19.0,4.0,12.0,67.0,56.0,-89.0,-50.0,-11.0,1.0,-29.0,-26.0,1.0,30.0,9.0,-59.0,-41.0,-1.0,-3.0,-19.0,9.0,-3.0,-20.0,-18.0,8.0,6.0,1.0,-33.0,-37.0,-26.0,0.0,23.0,8.0,-22.0,3.0,27.0,24.0,-7.0,43.0,17.0,39.0,-7.0,-50.0,-19.0,14.0,-1.0,-55.0,-55.0,0.0,27.0,-4.0,5.0,-2.0,-29.0,-22.0,5.0,-9.0,-16.0,-8.0,7.0,15.0,-17.0,-13.0,-119.0,128.0,-184.0,154.0,26.0,-31.0,110.0,52.0,-68.0,-29.0,30.0,0.0,0.0,112.0,-154.0,58.0,81.0,41.0,1.0,-18.0,-11.0,-29.0,4.0,-15.0,-29.0,1.0,-36.0,-41.0,8.0
19.0,-15.0,16.0,-16.0,17.0,-9.0,6.0,3.0,21.0,88.0,59.0,-116.0,-69.0,-5.0,18.0,8.0,-20.0,-5.0,17.0,21.0,63.0,52.0,-27.0,-36.0,-42.0,-11.0,14.0,24.0,-33.0,-12.0,-6.0,2.0,16.0,23.0,26.0,-65.0,-45.0,34.0,54.0,22.0,-32.0,30.0,7.0,-43.0,20.0,49.0,47.0,98.0,-33.0,-34.0,6.0,27.0,-5.0,-53.0,-42.0,-5.0,4.0,27.0,11.0,14.0,-14.0,-11.0,-11.0,16.0,24.0,-8.0,9.0,-28.0,-62.0,-52.0,64.0,-133.0,143.0,24.0,-62.0,-13.0,105.0,78.0,-77.0,37.0,-111.0,87.0,42.0,-194.0,24.0,38.0,15.0,8.0,6.0,0.0,6.0,11.0,7.0,10.0,11.0,-17.0,9.0,-14.0
-10.0,-5.0,17.0,-6.0,1.0,3.0,-9.0,34.0,125.0,33.0,-77.0,-25.0,19.0,22.0,30.0,3.0,11.0,24.0,23.0,9.0,-5.0,48.0,61.0,17.0,-31.0,-35.0,5.0,39.0,54.0,-16.0,-22.0,-51.0,-1.0,23.0,109.0,56.0,-28.0,18.0,26.0,86.0,32.0,17.0,18.0,-34.0,-40.0,-60.0,16.0,125.0,73.0,-32.0,6.0,-5.0,6.0,-5.0,-4.0,-20.0,-38.0,0.0,2.0,-2.0,-7.0,24.0,8.0,0.0,8.0,6.0,-25.0,-98.0,-38.0,32.0,-27.0,-91.0,95.0,52.0,-70.0,-57.0,-59.0,157.0,-25.0,94.0,-50.0,-79.0,70.0,-109.0,90.0,28.0,-2.0,15.0,0.0,5.0,14.0,-7.0,11.0,-2.0,9.0,8.0,-1.0,1.0
15.0,-4.0,-11.0,-5.0,-3.0,13.0,46.0,97.0,53.0,-98.0,-51.0,-27.0,44.0,27.0,-16.0,1.0,-15.0,10.0,-6.0,-4.0,-18.0,-11.0,6.0,36.0,-31.0,-3.0,16.0,6.0,-11.0,33.0,34.0,-49.0,-67.0,-76.0,-61.0,11.0,-23.0,-34.0,-45.0,-19.0,-21.0,17.0,21.0,11.0,-4.0,-38.0,-51.0,36.0,133.0,24.0,18.0,-77.0,-42.0,-34.0,-24.0,14.0,-8.0,-27.0,-47.0,-28.0,10.0,8.0,-7.0,2.0,-25.0,-6.0,-36.0,-24.0,49.0,7.0,-59.0,-45.0,88.0,80.0,-97.0,-10.0,-67.0,-13.0,-80.0,10.0,37.0,-186.0,73.0,2.0,86.0,11.0,-11.0,-6.0,14.0,-1.0,8.0,-5.0,-3.0,-5.0,5.0,-7.0,-3.0,11.0
-12.0,7.0,-12.0,-23.0,18.0,50.0,92.0,-28.0,-82.0,-66.0,-3.0,26.0,24.0,-15.0,-41.0,15.0,34.0,20.0,-9.0,19.0,33.0,85.0,7.0,-1.0,5.0,-16.0,-7.0,4.0,-44.0,12.0,37.0,24.0,7.0,11.0,-11.0,-28.0,31.0,-39.0,12.0,-9.0,-21.0,-29.0,-7.0,-10.0,33.0,58.0,-38.0,-83.0,16.0,85.0,83.0,59.0,-12.0,-113.0,-63.0,-22.0,-17.0,9.0,14.0,-19.0,-45.0,-34.0,-24.0,-4.0,-12.0,-19.0,-14.0,-19.0,19.0,-53.0,4.0,32.0,78.0,51.0,30.0,-69.0,30.0,67.0,-41.0,3.0,5.0,-47.0,-7.0,35.0,28.0,11.0,-5.0,-5.0,7.0,-7.0,0.0,4.0,14.0,-5.0,-3.0,3.0,7.0,8.0
-2.0,1.0,14.0,42.0,43.0,53.0,48.0,-61.0,-16.0,-15.0,27.0,41.0,-2.0,10.0,55.0,105.0,64.0,11.0,-34.0,-28.0,28.0,85.0,51.0,18.0,12.0,-9.0,0.0,-3.0,2.0,24.0,65.0,61.0,16.0,-46.0,-18.0,-27.0,-12.0,-10.0,53.0,1.0,-3.0,-21.0,-11.0,-3.0,-22.0,28.0,87.0,-9.0,-98.0,-3.0,65.0,80.0,117.0,-8.0,-104.0,-108.0,-115.0,-80.0,-14.0,-35.0,-19.0,-70.0,-75.0,-51.0,-61.0,-37.0,-20.0,-9.0,-30.0,18.0,114.0,41.0,68.0,17.0,18.0,10.0,-65.0,83.0,36.0,62.0,14.0,-38.0,-16.0,46.0,1.0,8.0,-20.0,12.0,-9.0,-2.0,1.0,-5.0,3.0,-7.0,4.0,-5.0,-6.0,-2.0
-7.0,14.0,-16.0,46.0,44.0,37.0,-67.0,-60.0,25.0,42.0,12.0,3.0,-32.0,-2.0,49.0,74.0,-57.0,-106.0,-48.0,-40.0,-16.0,28.0,22.0,-9.0,24.0,2.0,2.0,-11.0,-13.0,13.0,-10.0,35.0,101.0,43.0,19.0,-28.0,-20.0,-44.0,-8.0,40.0,10.0,27.0,7.0,32.0,9.0,-34.0,49.0,77.0,-2.0,-6.0,-5.0,52.0,68.0,107.0,80.0,75.0,18.0,-107.0,-163.0,-90.0,-61.0,-41.0,-21.0,13.0,-10.0,6.0,60.0,79.0,-32.0,36.0,37.0,-4.0,37.0,25.0,19.0,61.0,-68.0,-62.0,29.0,108.0,38.0,-177.0,-154.0,117.0,14.0,16.0,-4.0,10.0,-8.0,1.0,2.0,5.0,-6.0,0.0,10.0,-1.0,-3.0,7.0
-7.0,12.0,11.0,65.0,39.0,-44.0,-33.0,-41.0,-77.0,-67.0,-25.0,-60.0,-54.0,24.0,26.0,-28.0,-110.0,-69.0,1.0,-32.0,8.0,-30.0,-40.0,-30.0,-9.0,-6.0,15.0,14.0,-13.0,-7.0,-22.0,-90.0,25.0,42.0,46.0,-36.0,-8.0,31.0,-72.0,-112.0,-20.0,-13.0,-20.0,-1.0,8.0,19.0,-77.0,2.0,70.0,27.0,21.0,-34.0,71.0,91.0,65.0,133.0,237.0,201.0,98.0,89.0,54.0,-39.0,-152.0,-65.0,-43.0,-16.0,-26.0,-20.0,-164.0,-34.0,-31.0,-33.0,-38.0,19.0,-21.0,54.0,49.0,-172.0,23.0,11.0,145.0,-62.0,-137.0,66.0,13.0,-11.0,8.0,12.0,-5.0,-6.0,6.0,7.0,2.0,-2.0,9.0,12.0,-22.0,-5.0
-11.0,27.0,-20.0,96.0,-19.0,-48.0,-18.0,-6.0,-13.0,-19.0,-16.0,9.0,29.0,68.0,-9.0,-89.0,-56.0,-39.0,11.0,3.0,39.0,31.0,2.0,-19.0,0.0,4.0,9.0,28.0,-31.0,-1.0,-23.0,-109.0,31.0,41.0,67.0,74.0,-4.0,4.0,122.0,50.0,-67.0,-24.0,-51.0,-40.0,-17.0,11.0,7.0,-102.0,-28.0,41.0,-37.0,-20.0,-25.0,-26.0,29.0,-13.0,-5.0,104.0,118.0,103.0,208.0,207.0,132.0,28.0,-78.0,-76.0,6.0,24.0,-23.0,-39.0,52.0,74.0,-11.0,22.0,-11.0,29.0,83.0,-179.0,-104.0,118.0,51.0,57.0,59.0,-5.0,15.0,12.0,-27.0,-5.0,5.0,-12.0,3.0,-6.0,6.0,11.0,4.0,-1.0,-9.0,1.0
14.0,-9.0,13.0,126.0,-104.0,-44.0,-50.0,-18.0,-11.0,-7.0,-22.0,-23.0,23.0,-27.0,-67.0,-54.0,-28.0,-1.0,11.0,-21.0,18.0,13.0,33.0,-9.0,-41.0,-4.0,5.0,-8.0,-11.0,-25.0,-39.0,-81.0,24.0,65.0,-14.0,24.0,66.0,-13.0,-7.0,108.0,20.0,-3.0,11.0,-65.0,-16.0,-50.0,98.0,-39.0,-11.0,29.0,-74.0,-16.0,38.0,-35.0,-145.0,7.0,-92.0,-164.0,-74.0,-91.0,-65.0,80.0,129.0,212.0,228.0,135.0,66.0,38.0,-20.0,16.0,76.0,49.0,-1.0,25.0,-84.0,-43.0,75.0,-9.0,-213.0,22.0,29.0,-42.0,24.0,-9.0,-4.0,21.0,-8.0,12.0,-8.0,-9.0,-7.0,-15.0,-3.0,-6.0,-12.0,6.0,-16.0,-2.0
-2.0,6.0,72.0,65.0,-96.0,-51.0,-34.0,-37.0,-23.0,12.0,-6.0,-13.0,-15.0,-29.0,-44.0,-12.0,37.0,38.0,34.0,-26.0,-36.0,-5.0,30.0,2.0,-18.0,-21.0,-16.0,-2.0,13.0,11.0,9.0,11.0,65.0,75.0,-3.0,-47.0,40.0,88.0,26.0,15.0,62.0,10.0,28.0,11.0,-53.0,-14.0,11.0,41.0,-17.0,19.0,-71.0,-41.0,5.0,63.0,-26.0,-148.0,59.0,71.0,31.0,-9.0,-44.0,-114.0,-73.0,-94.0,73.0,209.0,153.0,168.0,60.0,-38.0,-22.0,-12.0,-43.0,62.0,-15.0,-22.0,0.0,55.0,-8.0,34.0,27.0,51.0,-16.0,-52.0,25.0,3.0,-13.0,-22.0,14.0,0.0,5.0,-1.0,11.0,0.0,-8.0,6.0,-3.0,0.0
14.0,-3.0,131.0,-10.0,-83.0,7.0,-23.0,-88.0,9.0,-10.0,-20.0,-23.0,-15.0,-33.0,-22.0,27.0,23.0,43.0,26.0,28.0,25.0,1.0,1.0,-10.0,-10.0,-10.0,-11.0,36.0,-40.0,14.0,26.0,45.0,35.0,68.0,15.0,-28.0,-109.0,-13.0,69.0,35.0,48.0,39.0,1.0,108.0,11.0,-35.0,47.0,42.0,13.0,25.0,44.0,-71.0,-52.0,33.0,120.0,-7.0,-159.0,-68.0,-14.0,-27.0,-11.0,-17.0,42.0,-87.0,-178.0,-102.0,-88.0,-52.0,69.0,85.0,-1.0,-4.0,-91.0,-81.0,2.0,16.0,32.0,2.0,-43.0,-28.0,-41.0,7.0,78.0,-62.0,27.0,11.0,7.0,20.0,11.0,-6.0,-9.0,-14.0,9.0,8.0,-8.0,12.0,-1.0,0.0
3.0,-26.0,159.0,-30.0,-85.0,57.0,91.0,-60.0,31.0,8.0,3.0,10.0,10.0,41.0,66.0,64.0,-5.0,-39.0,-40.0,-22.0,-31.0,3.0,5.0,5.0,-5.0,0.0,-14.0,11.0,18.0,13.0,36.0,74.0,13.0,-7.0,-18.0,-30.0,-49.0,-149.0,9.0,18.0,-32.0,62.0,-6.0,15.0,96.0,-81.0,-97.0,108.0,18.0,12.0,119.0,116.0,-61.0,-118.0,-2.0,102.0,107.0,43.0,-4.0,-14.0,-46.0,-96.0,29.0,25.0,-41.0,-72.0,-72.0,-157.0,-170.0,-55.0,1.0,50.0,73.0,9.0,-59.0,-114.0,63.0,59.0,26.0,24.0,-60.0,-94.0,24.0,5.0,19.0,-6.0,2.0,-11.0,-5.0,1.0,4.0,-6.0,8.0,-1.0,-9.0,3.0,1.0,23.0
