41.0,-127.0,69.0,-3.0,-13.0,-69.0,-7.0,-60.0,-44.0,-22.0,39.0,-122.0,33.0,-44.0,158.0,-136.0,28.0,60.0,91.0,-62.0,-7.0,58.0,45.0,53.0,81.0,-144.0,66.0,37.0,-21.0,79.0,87.0,-163.0,141.0,-70.0,-27.0,-16.0,49.0,-13.0,-13.0,-28.0,69.0,5.0,-87.0,-6.0,51.0,-78.0,7.0,-4.0,43.0,-55.0,106.0,-73.0,6.0,1.0,-33.0,23.0,66.0,-51.0,-6.0,-44.0,42.0,-127.0,57.0,-42.0,18.0,30.0,-77.0,76.0,-54.0,36.0,7.0,-32.0,67.0,-45.0,-44.0,26.0,-8.0,6.0,13.0,-49.0,48.0,-86.0,-44.0,135.0,-81.0,24.0,27.0,-62.0,52.0,-59.0,10.0,-17.0,-33.0,11.0,-19.0,1.0,21.0,-47.0
8.0,-13.0,189.0,-40.0,-167.0,-5.0,83.0,-45.0,4.0,10.0,16.0,17.0,13.0,14.0,-16.0,-15.0,-5.0,9.0,22.0,-38.0,-2.0,-10.0,3.0,10.0,-4.0,-1.0,21.0,4.0,-16.0,-44.0,-29.0,21.0,64.0,-2.0,18.0,22.0,2.0,-69.0,-15.0,56.0,22.0,-45.0,-19.0,-49.0,49.0,57.0,-172.0,-96.0,29.0,-27.0,-47.0,98.0,106.0,-34.0,-71.0,-6.0,-9.0,38.0,94.0,54.0,54.0,-20.0,-75.0,-33.0,51.0,80.0,84.0,107.0,2.0,-143.0,-77.0,-64.0,69.0,63.0,152.0,22.0,-61.0,45.0,-44.0,87.0,38.0,-84.0,-78.0,47.0,15.0,-2.0,-8.0,34.0,-6.0,23.0,4.0,4.0,1.0,11.0,-4.0,9.0,-2.0,-17.0
-3.0,-11.0,182.0,-38.0,-164.0,-30.0,-29.0,-42.0,-8.0,0.0,-17.0,-10.0,7.0,-9.0,-24.0,-10.0,-24.0,-13.0,6.0,18.0,22.0,-8.0,-6.0,-12.0,-7.0,-6.0,3.0,6.0,-16.0,-30.0,-77.0,-28.0,-48.0,27.0,23.0,4.0,10.0,-10.0,-25.0,2.0,87.0,-7.0,-10.0,-47.0,-41.0,94.0,85.0,-96.0,-122.0,76.0,15.0,-92.0,66.0,121.0,17.0,-35.0,44.0,-75.0,-37.0,66.0,54.0,14.0,20.0,-49.0,-143.0,-43.0,83.0,83.0,111.0,190.0,33.0,-36.0,-51.0,-32.0,25.0,137.0,8.0,8.0,21.0,-265.0,281.0,64.0,-59.0,2.0,15.0,-8.0,5.0,-4.0,-16.0,4.0,-8.0,-6.0,8.0,8.0,-10.0,-6.0,-3.0,9.0
4.0,0.0,172.0,-31.0,-99.0,-26.0,-15.0,-24.0,-18.0,-4.0,-8.0,1.0,11.0,14.0,15.0,3.0,0.0,-1.0,4.0,-14.0,-13.0,13.0,-8.0,-11.0,-18.0,-12.0,10.0,-1.0,6.0,-27.0,-44.0,22.0,11.0,-64.0,62.0,32.0,63.0,-2.0,-23.0,13.0,28.0,30.0,10.0,13.0,14.0,-9.0,85.0,85.0,-122.0,-96.0,116.0,-16.0,-151.0,48.0,57.0,22.0,43.0,54.0,-52.0,-19.0,86.0,83.0,43.0,17.0,59.0,-138.0,-171.0,-40.0,-32.0,10.0,134.0,71.0,-4.0,-30.0,-46.0,-45.0,33.0,-27.0,93.0,-305.0,56.0,164.0,17.0,-6.0,4.0,-10.0,8.0,-5.0,-12.0,6.0,3.0,-7.0,-13.0,2.0,-9.0,6.0,6.0,-17.0
-46.0,1.0,145.0,-29.0,-29.0,12.0,-17.0,-7.0,-2.0,0.0,1.0,-3.0,3.0,9.0,-10.0,22.0,-7.0,-9.0,-9.0,-7.0,2.0,-14.0,22.0,-4.0,-6.0,-1.0,-1.0,8.0,2.0,2.0,-29.0,-43.0,44.0,41.0,-1.0,74.0,67.0,22.0,-6.0,-30.0,-17.0,1.0,-17.0,8.0,32.0,-11.0,5.0,73.0,83.0,-105.0,-36.0,116.0,20.0,-89.0,-40.0,-4.0,29.0,61.0,-38.0,-36.0,-54.0,98.0,135.0,-17.0,50.0,137.0,37.0,-17.0,-57.0,-169.0,-99.0,87.0,-3.0,-26.0,-16.0,-23.0,-14.0,12.0,88.0,-125.0,-171.0,61.0,108.0,18.0,11.0,7.0,4.0,3.0,-21.0,8.0,-4.0,-12.0,8.0,12.0,-13.0,19.0,-21.0,12.0
-29.0,21.0,121.0,-57.0,-108.0,8.0,-4.0,17.0,14.0,-10.0,9.0,-4.0,-24.0,-7.0,-37.0,-25.0,-23.0,-34.0,0.0,-15.0,-21.0,-10.0,10.0,4.0,-16.0,13.0,-2.0,-11.0,-6.0,2.0,-7.0,-61.0,-51.0,-46.0,-26.0,-69.0,-9.0,-11.0,7.0,-1.0,-39.0,-6.0,43.0,-27.0,8.0,-3.0,-23.0,-24.0,110.0,70.0,-103.0,-68.0,53.0,51.0,-2.0,-95.0,-28.0,32.0,-2.0,-21.0,-116.0,-107.0,30.0,60.0,-3.0,-26.0,46.0,147.0,138.0,-17.0,-244.0,-61.0,62.0,67.0,-58.0,-56.0,14.0,26.0,-53.0,-30.0,-101.0,-73.0,56.0,12.0,2.0,25.0,0.0,5.0,-14.0,0.0,-8.0,3.0,-12.0,10.0,5.0,10.0,5.0,-15.0
-11.0,2.0,97.0,86.0,-115.0,-33.0,-56.0,-24.0,-32.0,-17.0,-11.0,-7.0,7.0,13.0,-10.0,6.0,-3.0,1.0,0.0,4.0,-8.0,-8.0,16.0,-15.0,-31.0,-21.0,11.0,8.0,14.0,14.0,52.0,-5.0,-38.0,-21.0,-31.0,-35.0,-11.0,31.0,-32.0,-19.0,-14.0,-10.0,63.0,-21.0,-17.0,-30.0,22.0,-41.0,-24.0,118.0,35.0,-52.0,10.0,-20.0,79.0,82.0,27.0,4.0,54.0,60.0,50.0,-92.0,-111.0,-20.0,48.0,-47.0,-89.0,-89.0,76.0,230.0,31.0,-133.0,-53.0,111.0,110.0,-103.0,-54.0,26.0,168.0,-126.0,-63.0,-49.0,10.0,52.0,-68.0,23.0,-12.0,6.0,12.0,19.0,-7.0,-3.0,0.0,-11.0,-3.0,0.0,-3.0,0.0
0.0,13.0,30.0,149.0,-80.0,3.0,-70.0,-36.0,-12.0,-9.0,-23.0,-20.0,-32.0,-27.0,-38.0,-27.0,-24.0,-27.0,-19.0,-6.0,6.0,-11.0,0.0,-3.0,11.0,-16.0,-11.0,-18.0,-32.0,-17.0,8.0,18.0,-10.0,-30.0,-4.0,43.0,65.0,47.0,-58.0,-38.0,8.0,10.0,5.0,17.0,2.0,-38.0,8.0,8.0,-79.0,-70.0,68.0,28.0,-36.0,7.0,-59.0,-18.0,34.0,46.0,-44.0,42.0,35.0,116.0,-41.0,-116.0,46.0,99.0,-70.0,-23.0,-138.0,-7.0,205.0,39.0,-25.0,-46.0,91.0,78.0,-49.0,-41.0,154.0,-56.0,-102.0,28.0,-32.0,64.0,-43.0,24.0,6.0,2.0,-4.0,14.0,-20.0,20.0,3.0,4.0,7.0,-5.0,-5.0,5.0
-1.0,23.0,5.0,156.0,-46.0,-25.0,-93.0,-33.0,-15.0,-14.0,-8.0,-2.0,6.0,-8.0,-1.0,9.0,4.0,-3.0,-7.0,2.0,-4.0,-2.0,-7.0,15.0,-2.0,-6.0,-9.0,-7.0,-8.0,-27.0,-40.0,-11.0,-13.0,0.0,-12.0,8.0,52.0,-22.0,-53.0,-45.0,-20.0,32.0,4.0,-21.0,-18.0,-7.0,40.0,13.0,-47.0,-88.0,-139.0,37.0,-51.0,-40.0,14.0,-43.0,-118.0,-72.0,-13.0,-19.0,-19.0,-54.0,161.0,-46.0,-103.0,61.0,34.0,-49.0,54.0,-111.0,-69.0,40.0,8.0,24.0,-1.0,75.0,19.0,-56.0,74.0,-51.0,-111.0,37.0,26.0,60.0,-4.0,14.0,-1.0,6.0,4.0,21.0,-26.0,9.0,-1.0,12.0,-1.0,3.0,-19.0,12.0
2.0,11.0,-20.0,125.0,75.0,-100.0,-57.0,-21.0,-2.0,-20.0,9.0,14.0,6.0,42.0,50.0,45.0,39.0,25.0,6.0,22.0,-9.0,8.0,-5.0,-15.0,-7.0,2.0,1.0,-7.0,0.0,11.0,-15.0,-32.0,-31.0,-11.0,-9.0,-4.0,-53.0,0.0,30.0,-14.0,-33.0,8.0,-10.0,-22.0,0.0,-21.0,56.0,56.0,59.0,-1.0,-18.0,-101.0,-13.0,-52.0,-28.0,56.0,114.0,-1.0,-44.0,-20.0,-53.0,-114.0,-77.0,96.0,-20.0,-22.0,41.0,-14.0,-46.0,60.0,-32.0,-32.0,-58.0,-69.0,0.0,63.0,67.0,-68.0,66.0,-66.0,-86.0,18.0,34.0,60.0,-4.0,10.0,-3.0,-6.0,3.0,-9.0,-7.0,18.0,11.0,5.0,-4.0,-5.0,14.0,8.0
0.0,20.0,-29.0,81.0,118.0,-130.0,-79.0,-43.0,-33.0,2.0,18.0,-14.0,8.0,7.0,3.0,6.0,8.0,-6.0,-14.0,7.0,-27.0,-30.0,-10.0,28.0,15.0,-7.0,15.0,3.0,4.0,25.0,29.0,-12.0,-53.0,-8.0,-7.0,232.0,-119.0,-94.0,0.0,43.0,13.0,15.0,21.0,-3.0,-15.0,17.0,12.0,37.0,79.0,75.0,32.0,55.0,57.0,-23.0,-57.0,-42.0,8.0,129.0,96.0,96.0,125.0,40.0,-71.0,-50.0,149.0,-29.0,29.0,65.0,24.0,-118.0,41.0,63.0,-33.0,-62.0,-99.0,34.0,97.0,-61.0,121.0,-107.0,-72.0,27.0,25.0,53.0,7.0,0.0,-11.0,-15.0,14.0,-19.0,-13.0,-3.0,-13.0,-11.0,-6.0,7.0,-3.0,-4.0
2.0,8.0,-21.0,21.0,145.0,-38.0,-140.0,-23.0,5.0,16.0,34.0,-23.0,4.0,26.0,-25.0,-7.0,-13.0,-7.0,-9.0,-3.0,-16.0,-37.0,0.0,6.0,11.0,-27.0,-17.0,-9.0,9.0,-2.0,23.0,12.0,-10.0,-33.0,-68.0,239.0,36.0,-146.0,-50.0,-46.0,-18.0,29.0,31.0,-8.0,-29.0,-36.0,-11.0,28.0,-21.0,136.0,21.0,13.0,53.0,77.0,11.0,11.0,-71.0,-103.0,45.0,69.0,67.0,156.0,122.0,-22.0,-86.0,127.0,-176.0,18.0,66.0,91.0,-29.0,49.0,24.0,-18.0,-52.0,-46.0,146.0,-53.0,103.0,-66.0,-161.0,47.0,-29.0,44.0,10.0,1.0,4.0,7.0,10.0,6.0,16.0,-8.0,-15.0,12.0,-14.0,-1.0,-11.0,1.0
-2.0,9.0,-27.0,15.0,89.0,92.0,-79.0,-2.0,75.0,32.0,7.0,-13.0,-7.0,4.0,6.0,15.0,13.0,8.0,-10.0,-11.0,7.0,19.0,31.0,15.0,10.0,13.0,-9.0,-2.0,11.0,-3.0,5.0,10.0,-28.0,-49.0,-57.0,-3.0,323.0,-148.0,-54.0,-24.0,-32.0,-39.0,1.0,0.0,-13.0,-6.0,-39.0,2.0,-25.0,-11.0,22.0,14.0,3.0,78.0,41.0,9.0,31.0,-78.0,-97.0,-58.0,19.0,-40.0,37.0,104.0,-22.0,16.0,60.0,-169.0,-107.0,5.0,40.0,-25.0,141.0,-131.0,-3.0,-34.0,140.0,36.0,50.0,-100.0,-129.0,13.0,-47.0,91.0,-8.0,3.0,6.0,22.0,14.0,-12.0,5.0,0.0,9.0,-2.0,-8.0,20.0,5.0,9.0
-2.0,21.0,-15.0,22.0,47.0,126.0,-60.0,-59.0,22.0,55.0,31.0,9.0,-7.0,-27.0,-23.0,11.0,3.0,17.0,18.0,1.0,10.0,10.0,15.0,14.0,2.0,11.0,-6.0,-12.0,-22.0,-20.0,16.0,-15.0,-7.0,-33.0,-71.0,-76.0,257.0,78.0,-84.0,-23.0,-36.0,-36.0,-37.0,-38.0,-11.0,-23.0,-13.0,-2.0,-16.0,-40.0,-26.0,-10.0,-25.0,10.0,52.0,16.0,83.0,-57.0,23.0,-33.0,-40.0,39.0,-61.0,11.0,21.0,9.0,50.0,87.0,33.0,-247.0,60.0,-56.0,95.0,-4.0,-110.0,-103.0,99.0,63.0,153.0,-180.0,-57.0,-12.0,-20.0,82.0,-15.0,10.0,-16.0,-23.0,-2.0,-3.0,10.0,-9.0,-10.0,23.0,-3.0,-13.0,-18.0,-18.0
-12.0,-24.0,8.0,3.0,6.0,162.0,-71.0,-53.0,-30.0,63.0,29.0,-10.0,-9.0,-5.0,-14.0,24.0,-10.0,-24.0,12.0,2.0,-6.0,-8.0,10.0,6.0,-15.0,3.0,6.0,-3.0,7.0,-3.0,24.0,15.0,14.0,-11.0,-54.0,-48.0,-80.0,277.0,-111.0,-6.0,23.0,1.0,-26.0,-18.0,-30.0,-26.0,-27.0,-14.0,-24.0,-15.0,-16.0,-20.0,1.0,18.0,10.0,35.0,43.0,17.0,-88.0,71.0,-8.0,-19.0,74.0,-25.0,-9.0,68.0,-31.0,7.0,113.0,14.0,-96.0,56.0,62.0,53.0,-59.0,-151.0,19.0,74.0,212.0,-113.0,-38.0,-31.0,8.0,66.0,34.0,6.0,-1.0,-3.0,7.0,-16.0,3.0,3.0,-7.0,-3.0,-3.0,21.0,-1.0,15.0
-3.0,8.0,8.0,-23.0,-14.0,171.0,-87.0,-57.0,-99.0,63.0,2.0,-23.0,-3.0,7.0,-5.0,16.0,14.0,11.0,10.0,12.0,-3.0,-24.0,-13.0,-20.0,-18.0,-10.0,18.0,1.0,-2.0,-5.0,6.0,13.0,15.0,9.0,-15.0,-13.0,-102.0,121.0,79.0,-111.0,8.0,16.0,6.0,2.0,-8.0,-19.0,-22.0,-22.0,-12.0,-29.0,-12.0,-10.0,-22.0,-15.0,-9.0,2.0,19.0,26.0,-11.0,-94.0,-29.0,-70.0,-20.0,62.0,-27.0,39.0,50.0,-111.0,125.0,70.0,-114.0,-27.0,68.0,127.0,-27.0,-12.0,-146.0,61.0,62.0,44.0,-146.0,8.0,36.0,-16.0,56.0,-5.0,-3.0,1.0,-14.0,3.0,11.0,-16.0,3.0,-1.0,-10.0,9.0,14.0,-9.0
1.0,-5.0,3.0,9.0,-7.0,185.0,-86.0,-91.0,-109.0,33.0,-79.0,-36.0,-3.0,-5.0,-15.0,7.0,-13.0,10.0,4.0,16.0,34.0,0.0,10.0,-9.0,-23.0,-30.0,-21.0,-35.0,-2.0,-20.0,-31.0,-11.0,-13.0,-16.0,-39.0,-15.0,-43.0,-128.0,336.0,-129.0,7.0,-30.0,2.0,13.0,12.0,4.0,-22.0,-45.0,-26.0,1.0,-14.0,-32.0,-35.0,-18.0,-27.0,-36.0,-11.0,12.0,23.0,-8.0,0.0,-27.0,-47.0,-36.0,20.0,4.0,11.0,-27.0,-13.0,66.0,44.0,-35.0,-40.0,138.0,-59.0,15.0,-105.0,50.0,22.0,68.0,-146.0,15.0,61.0,-39.0,40.0,-18.0,7.0,9.0,3.0,6.0,3.0,13.0,-6.0,0.0,12.0,-11.0,7.0,-10.0
-19.0,10.0,-15.0,9.0,-68.0,156.0,-6.0,-173.0,-71.0,226.0,-74.0,-93.0,-16.0,10.0,-10.0,-23.0,-19.0,23.0,-7.0,-20.0,-16.0,-32.0,6.0,2.0,-9.0,-14.0,-5.0,-46.0,-21.0,-26.0,-7.0,36.0,29.0,2.0,2.0,-15.0,2.0,-109.0,154.0,64.0,-48.0,-15.0,-15.0,-11.0,-9.0,1.0,7.0,-19.0,8.0,-6.0,-25.0,-25.0,-41.0,-55.0,-5.0,-8.0,-8.0,-5.0,-24.0,-33.0,-20.0,6.0,-10.0,-15.0,-21.0,18.0,-19.0,14.0,-47.0,10.0,20.0,26.0,-85.0,6.0,164.0,-147.0,-21.0,42.0,-6.0,68.0,-119.0,-56.0,27.0,22.0,37.0,-11.0,3.0,13.0,-2.0,-7.0,-11.0,16.0,-14.0,3.0,10.0,-1.0,-9.0,-9.0
7.0,-17.0,-7.0,46.0,-51.0,159.0,53.0,-259.0,-75.0,309.0,3.0,-67.0,-44.0,19.0,-5.0,-30.0,-7.0,4.0,-11.0,1.0,9.0,31.0,-3.0,12.0,20.0,24.0,24.0,-24.0,-23.0,9.0,15.0,21.0,23.0,18.0,9.0,40.0,19.0,-26.0,-128.0,125.0,-15.0,-35.0,4.0,-2.0,5.0,6.0,29.0,27.0,14.0,-29.0,-34.0,17.0,33.0,-9.0,-23.0,-10.0,-19.0,0.0,10.0,31.0,1.0,3.0,-23.0,-31.0,0.0,2.0,-10.0,6.0,50.0,14.0,-3.0,29.0,-71.0,-54.0,156.0,-120.0,-15.0,26.0,-24.0,37.0,-7.0,22.0,-72.0,77.0,30.0,0.0,-10.0,-7.0,-5.0,-2.0,-5.0,3.0,-1.0,0.0,-1.0,-11.0,7.0,1.0
20.0,-19.0,10.0,20.0,-54.0,115.0,152.0,-363.0,-61.0,336.0,-6.0,-56.0,-121.0,28.0,22.0,12.0,9.0,12.0,22.0,30.0,5.0,9.0,25.0,-9.0,3.0,9.0,18.0,54.0,21.0,23.0,12.0,24.0,-9.0,22.0,-9.0,31.0,-2.0,43.0,-15.0,-26.0,62.0,3.0,-30.0,-22.0,-8.0,-3.0,-7.0,0.0,2.0,20.0,33.0,16.0,2.0,8.0,6.0,-1.0,2.0,-31.0,2.0,13.0,20.0,3.0,21.0,-34.0,-10.0,-1.0,42.0,7.0,-37.0,5.0,-9.0,-29.0,-31.0,-76.0,68.0,-14.0,-39.0,7.0,-4.0,-9.0,43.0,-22.0,-29.0,-39.0,49.0,-1.0,-9.0,-5.0,4.0,-2.0,-1.0,8.0,-5.0,5.0,-5.0,-7.0,12.0,-9.0
-10.0,-8.0,24.0,-3.0,-14.0,30.0,239.0,-393.0,-86.0,294.0,30.0,-10.0,-139.0,-36.0,11.0,-6.0,13.0,6.0,-9.0,23.0,-4.0,6.0,19.0,4.0,18.0,-3.0,12.0,15.0,15.0,-2.0,-10.0,4.0,-7.0,11.0,11.0,16.0,-21.0,11.0,-9.0,7.0,20.0,19.0,27.0,5.0,-4.0,2.0,-4.0,-15.0,-1.0,5.0,3.0,-3.0,-7.0,3.0,-1.0,9.0,1.0,-8.0,-19.0,-26.0,-11.0,-17.0,16.0,-26.0,5.0,-26.0,-23.0,43.0,-18.0,-36.0,-20.0,-46.0,3.0,-51.0,42.0,18.0,-52.0,-60.0,38.0,26.0,35.0,99.0,14.0,-77.0,70.0,10.0,-9.0,11.0,11.0,-4.0,-12.0,-2.0,-13.0,11.0,-1.0,8.0,9.0,-19.0
-1.0,-1.0,5.0,-9.0,-13.0,-30.0,308.0,-333.0,-99.0,196.0,69.0,11.0,-71.0,-71.0,-8.0,-21.0,10.0,22.0,-13.0,-1.0,-18.0,-28.0,8.0,-11.0,17.0,9.0,-10.0,-26.0,-7.0,9.0,-5.0,8.0,-7.0,-20.0,9.0,5.0,12.0,0.0,-4.0,-13.0,-2.0,-7.0,-2.0,10.0,31.0,-13.0,-6.0,21.0,4.0,-10.0,-8.0,9.0,2.0,-8.0,-12.0,18.0,16.0,-10.0,-26.0,-12.0,-15.0,6.0,-4.0,-18.0,15.0,-36.0,-40.0,13.0,-8.0,-25.0,-18.0,-11.0,-30.0,-66.0,47.0,10.0,-49.0,-43.0,10.0,16.0,-59.0,5.0,26.0,-16.0,45.0,11.0,-14.0,6.0,17.0,-6.0,12.0,29.0,-9.0,5.0,-16.0,4.0,-4.0,-3.0
8.0,-16.0,2.0,-4.0,9.0,-41.0,208.0,-180.0,-134.0,129.0,33.0,85.0,-45.0,-78.0,-43.0,-38.0,-35.0,25.0,17.0,9.0,-9.0,24.0,22.0,-1.0,-22.0,-16.0,9.0,9.0,-8.0,-3.0,8.0,-8.0,6.0,-11.0,3.0,5.0,15.0,2.0,2.0,-8.0,16.0,-6.0,19.0,13.0,16.0,2.0,3.0,2.0,-2.0,-5.0,-12.0,5.0,-21.0,-30.0,-19.0,-11.0,3.0,34.0,10.0,-18.0,-11.0,-3.0,5.0,2.0,-17.0,12.0,-16.0,15.0,-7.0,18.0,-5.0,-7.0,11.0,-37.0,-3.0,-7.0,-84.0,-85.0,33.0,-72.0,171.0,-138.0,-23.0,32.0,7.0,-7.0,-13.0,1.0,-14.0,-19.0,-4.0,-5.0,-4.0,9.0,-2.0,-3.0,-3.0,-3.0
6.0,-4.0,-7.0,-5.0,8.0,-18.0,76.0,12.0,-1.0,49.0,-11.0,91.0,51.0,-7.0,-122.0,-38.0,-37.0,12.0,16.0,-21.0,-19.0,3.0,10.0,15.0,-11.0,-21.0,2.0,0.0,11.0,-17.0,-5.0,17.0,3.0,8.0,-1.0,5.0,-11.0,2.0,10.0,14.0,2.0,-8.0,-7.0,-2.0,-5.0,8.0,7.0,11.0,2.0,-11.0,26.0,18.0,-2.0,-7.0,-24.0,-8.0,11.0,25.0,-13.0,7.0,-14.0,-16.0,-30.0,-4.0,-17.0,-3.0,11.0,-6.0,-1.0,3.0,15.0,-24.0,30.0,26.0,-1.0,-27.0,-74.0,-73.0,73.0,-66.0,94.0,99.0,-126.0,58.0,-14.0,20.0,5.0,9.0,-12.0,9.0,-11.0,-4.0,-2.0,-18.0,8.0,4.0,4.0,-2.0
37.0,-20.0,8.0,4.0,-9.0,-5.0,24.0,-35.0,26.0,9.0,-20.0,42.0,49.0,144.0,-68.0,-133.0,-9.0,11.0,24.0,15.0,-17.0,-25.0,-2.0,-10.0,2.0,-31.0,-5.0,3.0,-10.0,15.0,-1.0,1.0,-5.0,25.0,-5.0,-7.0,8.0,15.0,5.0,13.0,16.0,-1.0,3.0,2.0,-8.0,1.0,5.0,34.0,20.0,27.0,-5.0,14.0,4.0,20.0,-21.0,-14.0,-2.0,14.0,-13.0,4.0,2.0,6.0,-5.0,-7.0,0.0,-24.0,12.0,6.0,-2.0,35.0,2.0,1.0,23.0,39.0,63.0,12.0,-54.0,-102.0,97.0,37.0,-245.0,311.0,-192.0,73.0,29.0,-4.0,11.0,-3.0,9.0,-9.0,9.0,12.0,7.0,0.0,-14.0,-3.0,4.0,-11.0
22.0,-28.0,4.0,1.0,-7.0,-8.0,33.0,-29.0,36.0,16.0,-32.0,6.0,-6.0,69.0,186.0,-98.0,-15.0,9.0,15.0,13.0,-21.0,0.0,25.0,7.0,32.0,12.0,-18.0,-8.0,-24.0,-21.0,20.0,13.0,-39.0,-23.0,-7.0,1.0,-23.0,-5.0,-7.0,-18.0,18.0,-4.0,-12.0,-6.0,-17.0,12.0,-15.0,-17.0,0.0,-4.0,-7.0,23.0,7.0,-13.0,8.0,-8.0,-16.0,9.0,7.0,6.0,-27.0,-10.0,-1.0,-19.0,6.0,-1.0,-5.0,-4.0,16.0,21.0,-36.0,-7.0,14.0,44.0,53.0,36.0,-79.0,-99.0,119.0,82.0,-195.0,91.0,-83.0,18.0,25.0,7.0,-9.0,-17.0,7.0,5.0,8.0,1.0,-13.0,7.0,2.0,13.0,9.0,11.0
